,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
1,.NET软件工程师,深圳均辉华惠国际货运有限公司,外资（非欧美）,150-500人,交通/运输/物流,0.8-1万/月,深圳,1年经验,本科,招3人,"['高温补贴', '带薪年假', '包住宿', '节日福利', '年终奖金', '五险一金']",3,8.0,10.0,1
3,高薪ASP.NET工程师 不加班,深圳云易智慧网络科技有限公司,民营公司,少于50人,"计算机软件,互联网/电子商务",1-1.6万/月,深圳,3-4年经验,大专,招若干人,"['五险一金', '不加班', '年终奖金', '周末双休']",3,10.0,16.0,1
4,Android&.net开发工程师,深圳市澳斯联科实业有限公司,合资,50-150人,计算机服务(系统、数据服务、维修),0.8-1.5万/月,深圳,2年经验,大专,招若干人,"['五险一金', '周末双休']",3,8.0,15.0,1
6,.NET开发工程师(职位编号：001052019),和记生活易信息咨询（深圳）有限公司,外资（非欧美）,少于50人,"计算机软件,互联网/电子商务",1-1.5万/月,深圳,2年经验,大专,招2人,[],3,10.0,15.0,1
7,.NET 工程师,深圳市菲恩测控科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,0.8-1.2万/月,深圳,1年经验,大专,招1人,"['五险一金', '周末双休', '带薪年假', '节日福利']",3,8.0,12.0,1
8,.NET开发工程师,深圳市创联互动软件科技有限公司,创业公司,50-150人,"计算机软件,网络游戏",1.1-2万/月,深圳,3-4年经验,大专,招1人,"['五险一金', '员工旅游', '年终奖金', '弹性工作', '定期体检']",3,11.0,20.0,1
9,.net高级工程师,深圳市鸿月盛科技有限公司,民营公司,50-150人,"贸易/进出口,批发/零售",1-1.5万/月,深圳,5-7年经验,本科,招1人,"['五险一金', '员工旅游', '绩效奖金', '年终奖金']",3,10.0,15.0,1
10,.NET高级开发工程师,中咨联教育技术（深圳）有限公司,民营公司,50-150人,"教育/培训/院校,计算机软件",1.2-2万/月,深圳,3-4年经验,本科,招6人,['五险一金'],3,12.0,20.0,1
11,ASP.NET开发工程师,深圳市芥子计划科技有限公司,外资（非欧美）,少于50人,计算机软件,0.8-1.1万/月,深圳,1年经验,大专,招2人,"['五险一金', '年度奖金']",3,8.0,11.0,1
12,C#.net开发工程师,深圳市天狐互娱科技有限公司,民营公司,50-150人,"网络游戏,计算机软件",0.8-1.2万/月,深圳,2年经验,大专,招1人,"['五险一金', '带薪年假', '住房补贴', '交通补贴', '节日福利']",3,8.0,12.0,1
13,ASP.NET开发工程师,深圳法通科技有限公司,民营公司,50-150人,"计算机软件,计算机硬件",4.5-9千/月,深圳,无工作经验,本科,招若干人,"['五险一金', '专业培训', '周末双休', '节日活动', '员工旅游']",2,4.5,9.0,1
14,.NET开发工程师,深圳新为软件股份有限公司,民营公司,150-500人,"计算机软件,互联网/电子商务",0.8-1.5万/月,深圳,1年经验,大专,招8人,"['五险一金', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '股票期权', '弹性工作']",3,8.0,15.0,1
15,.net（应届生）,艾普阳科技（深圳）有限公司,外资（非欧美）,50-150人,计算机软件,4-7千/月,深圳,无工作经验,大专,招若干人,['五险一金'],2,4.0,7.0,1
16,.NET软件工程师,深圳市巨沃科技有限公司,民营公司,150-500人,计算机软件,0.7-1.6万/月,深圳,1年经验,本科,招3人,"['五险一金', '补充医疗保险', '员工旅游', '绩效奖金', '年终奖金', '定期体检', '周末双休', '节日福利']",3,7.0,16.0,1
17,.NET开发工程师,深圳市道控技术有限公司,民营公司,150-500人,"互联网/电子商务,计算机硬件",0.8-1.5万/月,深圳,2年经验,大专,招2人,"['五险一金', '员工旅游', '绩效奖金', '年终奖金', '出国机会', '专业培训']",3,8.0,15.0,1
18,.net高级程序员,深圳市跃迈科技有限公司,民营公司,少于50人,"计算机软件,互联网/电子商务",1.5-3万/月,深圳,3-4年经验,大专,招5人,"['五险一金', '员工旅游', '绩效奖金', '年终奖金', '周末双休', '全勤奖', '节日福利', '加班补贴']",3,15.0,30.0,1
19,.net工程师,深圳市天方达健信科技股份有限公司,民营公司,150-500人,"计算机软件,互联网/电子商务",0.7-1.5万/月,深圳,2年经验,本科,招1人,"['五险一金', '员工旅游', '绩效奖金', '年终奖金', '周末双休']",3,7.0,15.0,1
20,高级软件开发工程师 .NET,美亚电子科技有限公司,外资（非欧美）,150-500人,"电子技术/半导体/集成电路,贸易/进出口",0.8-2万/月,深圳,3-4年经验,本科,招2人,"['五险一金', '补充医疗保险', '员工旅游', '节日福利', '周末双休', '年终双薪', '带薪年假', '交通补贴', '绩效奖金', '出国机会']",3,8.0,20.0,1
21,.NET开发工程师,深圳市中科计算机软件技术有限责任公司,民营公司,少于50人,计算机软件,0.7-1.5万/月,深圳,2年经验,大专,招2人,['五险一金'],3,7.0,15.0,1
22,.NET软件开发工程师 Programmer,萃领科技（深圳）有限公司,外资（欧美）,50-150人,"计算机软件,互联网/电子商务",0.5-1万/月,深圳,2年经验,大专,招2人,"['五险一金', '带薪年假', '带薪病假', '周末双休']",3,5.0,10.0,1
23,.net开发工程师,深圳市交投科技有限公司,民营公司,50-150人,计算机软件,0.8-1.5万/月,深圳,2年经验,本科,招3人,"['五险一金', '年终奖金', '弹性工作', '绩效奖金', '员工旅游']",3,8.0,15.0,1
24,.net开发工程师（CCES/CCAI）,中原（中国）房地产代理有限公司,外资（非欧美）,500-1000人,"中介服务,房地产",1-2万/月,深圳,3-4年经验,大专,招1人,['五险一金'],3,10.0,20.0,1
25,.NET中级开发工程师,易交易科技（深圳）有限公司,外资（非欧美）,50-150人,计算机软件,1.5-2.5万/月,深圳,2年经验,大专,招若干人,"['五险一金', '项目奖金', '年终奖金', '带薪年假', '员工活动', '咖啡、零食', '领导Nice']",3,15.0,25.0,1
26,.NET开发工程师,成都迈思信息技术有限公司,民营公司,150-500人,计算机软件,1-1.5万/月,深圳,2年经验,大专,招1人,"['五险一金', '弹性工作', '绩效奖金', '年终奖金', '交通补贴']",3,10.0,15.0,1
27,.NET开发工程师,科立讯通信股份有限公司,民营公司,500-1000人,"通信/电信/网络设备,通信/电信运营、增值服务",1.2-2万/月,深圳,3-4年经验,本科,招1人,"['五险一金', '员工旅游', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']",3,12.0,20.0,1
28,.NET开发工程师,深圳市长盈精密技术股份有限公司,上市公司,10000人以上,"电子技术/半导体/集成电路,仪器仪表/工业自动化",0.7-1.5万/月,深圳,无工作经验,大专,招若干人,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '股票期权', '定期体检']",3,7.0,15.0,1
29,C#/.NET软件开发工程师,深圳市永祥药房连锁有限公司,民营公司,150-500人,"制药/生物工程,批发/零售",1-2万/月,深圳,3-4年经验,大专,招3人,"['五险一金', '股票期权', '专业培训', '空调宿舍', '免费茶歇水果', '免费加班餐', '团队活动']",3,10.0,20.0,1
30,C#/.NET软件开发工程师,深圳市万连软件有限公司,民营公司,少于50人,计算机软件,0.9-1.5万/月,深圳,5-7年经验,大专,招3人,"['五险一金', '餐饮补贴', '绩效奖金', '股票期权', '年终奖金']",3,9.0,15.0,1
31,ASP.NET开发工程师+五险一金,深圳市天助人和信息技术有限公司,民营公司,50-150人,"互联网/电子商务,计算机软件",5-8千/月,深圳,1年经验,大专,招3人,"['带薪年假', '节日福利', '五险一金', '公司旅游', '岗位晋升', '专业培训']",2,5.0,8.0,1
32,.NET开发工程师,深圳市融汇通金科技有限公司,民营公司,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",2.5-4万/月,深圳,5-7年经验,本科,招2人,"['五险一金', '补充医疗保险', '员工旅游', '专业培训', '定期体检', '股票期权', '年终奖金', '一年多次调薪', '行业领军企业', '周末双休']",3,25.0,40.0,1
33,.net开发工程师,满金坝（深圳）科技有限公司,民营公司,150-500人,互联网/电子商务,1.5-2.5万/月,深圳,5-7年经验,大专,招1人,"['年终分红', '年度加薪', '五险一金', '餐饮补贴', '交通补贴', '节日福利', '带薪年假', '亲属福利', '成长基金']",3,15.0,25.0,1
34,.NET高级软件工程师(急聘),奇宏电子（深圳）有限公司,外资（非欧美）,5000-10000人,电子技术/半导体/集成电路,1-1.5万/月,深圳,5-7年经验,本科,招若干人,"['五险一金', '绩效奖金', '专业培训', '弹性工作', '定期体检', '周末双休']",3,10.0,15.0,1
35,.NET软件工程师,东方嘉盛集团,上市公司,500-1000人,"交通/运输/物流,贸易/进出口",1-1.8万/月,深圳,无工作经验,大专,招若干人,"['五险一金', '年终奖金', '定期体检']",3,10.0,18.0,1
36,急招 .net开发工程师,深圳市网坛科技有限公司,民营公司,少于50人,"互联网/电子商务,计算机软件",1-1.5万/月,深圳,3-4年经验,大专,招3人,"['五险一金', '餐饮补贴', '绩效奖金', '年终奖金']",3,10.0,15.0,1
37,.NET软件工程师(职位编号：2014001),深圳市雅码科技有限公司,民营公司,50-150人,计算机软件,0.8-1.3万/月,深圳,3-4年经验,本科,招若干人,"['五险一金', '餐饮补贴', '年终奖金', '绩效奖金', '专业培训']",3,8.0,13.0,1
38,.NET开发工程师,深圳市银河表计股份有限公司,民营公司,150-500人,"仪器仪表/工业自动化,电气/电力/水利",1.1-1.6万/月,深圳,3-4年经验,本科,招1人,"['五险一金', '绩效奖金', '定期体检', '年终奖金', '餐饮补贴', '带团队', '每年多次调薪', '公司重点项目']",3,11.0,16.0,1
39,.NET开发工程师,深圳市佳士科技股份有限公司,上市公司,1000-5000人,机械/设备/重工,0.8-1.2万/月,深圳,3-4年经验,大专,招1人,['五险一金'],3,8.0,12.0,1
40,软件工程师(.net),深圳市航嘉驰源电气股份有限公司,民营公司,10000人以上,电子技术/半导体/集成电路,0.8-1万/月,深圳,2年经验,本科,招2人,"['五险一金', '定期体检', '专业培训', '出国机会', '员工旅游']",3,8.0,10.0,1
41,.NET开发工程师,深圳宇问加壹传感系统有限公司,民营公司,50-150人,"电子技术/半导体/集成电路,贸易/进出口",1-2万/月,深圳,2年经验,大专,招2人,"['绩效奖金', '年终奖金', '补充医疗保险', '专业培训', '交通补贴', '员工旅游', '五险一金', '餐饮补贴', '出国机会', '定期体检']",3,10.0,20.0,1
42,高级.NET开发工程师,深圳市商舟网科技有限公司,民营公司,50-150人,互联网/电子商务,1-1.8万/月,深圳,2年经验,本科,招2人,"['五险一金', '员工旅游', '餐饮补贴', '年终奖金']",3,10.0,18.0,1
43,.net工程师-智慧图书馆,深圳市远望谷信息技术股份有限公司,上市公司,500-1000人,"通信/电信/网络设备,电子技术/半导体/集成电路",1.2-2万/月,深圳,3-4年经验,本科,招1人,"['五险一金', '专业培训', '年终奖金', '定期体检']",3,12.0,20.0,1
44,.net开发工程师,深圳市广通软件有限公司,民营公司,150-500人,"计算机软件,互联网/电子商务",0.6-1万/月,深圳,2年经验,本科,招3人,['五险一金'],3,6.0,10.0,1
45,.NET开发工程师,深圳中航信息科技产业股份有限公司,民营公司,500-1000人,"计算机服务(系统、数据服务、维修),电子技术/半导体/集成电路",0.8-1.5万/月,深圳,2年经验,本科,招1人,"['五险一金', '项目奖', '专业培训', '员工旅游', '定期体检', '年终奖金']",3,8.0,15.0,1
46,.NET开发工程师,深圳市杰嘉贸易有限公司,外资（非欧美）,50-150人,贸易/进出口,3.5-6.5千/月,深圳,无工作经验,大专,招2人,"['包吃包住', '五险一金', '员工旅游', '绩效奖金', '年终奖金', '专业培训', '补充医疗保险']",2,3.5,6.5,1
48,.NET开发工程师,深圳市联创科技集团有限公司,民营公司,1000-5000人,多元化业务集团公司,0.8-1万/月,深圳,2年经验,大专,招1人,"['五险一金', '提供食宿', '周末双休']",3,8.0,10.0,1
49,.NET开发工程师,深圳远荣智能制造股份有限公司,上市公司,150-500人,仪器仪表/工业自动化,1-1.8万/月,深圳,2年经验,本科,招5人,"['五险一金', '包吃', '节日福利', '带薪年假']",3,10.0,18.0,1
50,asp.net软件开发工程师（ERP方向）,深圳店管家软件有限公司,民营公司,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",0.7-1.5万/月,深圳,无工作经验,本科,招若干人,"['五险一金', '年终奖金', '技术入股', '股权分红']",3,7.0,15.0,1
51,.NET程序员,嘉宏国际运输代理有限公司深圳分公司,合资,500-1000人,交通/运输/物流,5-7千/月,深圳,1年经验,本科,招3人,"['五险一金', '员工旅游', '餐饮补贴', '年终奖金', '定期体检', '年底双薪', '高温补贴', '加班费', '节假日福利']",2,5.0,7.0,1
52,.NET高级开发工程师,旺盈印刷集团（国际）有限公司,民营公司,5000-10000人,印刷/包装/造纸,1.5-2千/月,东莞,2年经验,大专,招若干人,"['年终奖金', '节日福利', '社保', '免费培训', '定期体检', '带薪年假']",2,1.5,2.0,1
53,.NET开发工程师,番禺得意精密电子工业有限公司,外资（非欧美）,5000-10000人,"电子技术/半导体/集成电路,通信/电信/网络设备",0.8-1.2万/月,广州,无工作经验,本科,招1人,['五险一金'],3,8.0,12.0,1
54,C#.NET开发工程师 / Web前端开发工程师,贵联控股国际有限公司,合资,1000-5000人,印刷/包装/造纸,0.8-1.5万/月,深圳,2年经验,大专,招3人,"['五险一金', '绩效奖金', '年终奖金', '周末双休', '包吃包住']",3,8.0,15.0,1
55,.NET实习生,深圳市荔秀管理咨询有限公司,民营公司,少于50人,"专业服务(咨询、人力资源、财会),互联网/电子商务",0.5-1万/月,深圳,无工作经验,大专,招若干人,['五险一金'],3,5.0,10.0,1
56,.NET开发工程师,深圳市汇鑫科技股份有限公司,上市公司,150-500人,"互联网/电子商务,计算机软件",1-1.5万/月,深圳,2年经验,大专,招若干人,"['五险一金', '员工旅游', '年终奖金', '通讯补贴', '交通补贴']",3,10.0,15.0,1
57,.NET开发工程师,深圳市欧恩德技术有限公司,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",1-1.5万/月,深圳,3-4年经验,大专,招若干人,"['做五休二', '周末双休', '弹性工作', '五险一金', '节日福利']",3,10.0,15.0,1
58,.NET高级开发工程师,深圳市阳光心理咨询有限公司,国企,150-500人,"专业服务(咨询、人力资源、财会),外包服务",2-3万/月,深圳,5-7年经验,本科,招1人,"['带薪年假', '年终奖金', '五险一金', '补充商业险']",3,20.0,30.0,1
59,.NET研发工程师,深圳市凡派网络科技有限公司,民营公司,50-150人,"互联网/电子商务,计算机软件",1-2万/月,深圳,3-4年经验,大专,招2人,"['五险一金', '专业培训', '绩效奖金', '年终奖金', '股票期权']",3,10.0,20.0,1
60,.NET高级开发工程师,深圳市三希软件科技有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),1.5-2.5万/月,深圳,5-7年经验,本科,招10人,"['五险一金', '员工旅游', '定期体检', '年终奖金', '周末双休', '节日福利', '全勤奖', '绩效奖金', '带薪年假']",3,15.0,25.0,1
61,ASP.NET开发工程师,深圳市思泽翰科技有限公司,民营公司,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",4.5-7千/月,深圳,1年经验,大专,招2人,"['周末双休', '五险一金', '员工旅游', '出国机会', '绩效奖金', '弹性工作', '定期体检']",2,4.5,7.0,1
62,.NET开发工程师,深圳市朗华供应链服务有限公司,上市公司,500-1000人,多元化业务集团公司,1-1.5万/月,深圳,5-7年经验,大专,招2人,"['五险一金', '餐饮补贴', '绩效奖金', '年终奖金']",3,10.0,15.0,1
63,.net开发工程师,深圳市昂捷信息技术股份有限公司,民营公司,150-500人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",0.7-1.4万/月,深圳,1年经验,本科,招5人,"['五险一金', '员工旅游', '绩效奖金', '年终奖金', '定期体检', '专业培训']",3,7.0,14.0,1
64,.NET软件工程师,深圳哲领网络科技有限公司,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",1-1.5万/月,深圳,2年经验,大专,招5人,"['五险一金', '补充医疗保险', '补充公积金', '出国机会', '年终奖金']",3,10.0,15.0,1
65,.net初级开发工程师,深圳美克拉网络技术有限公司,民营公司,50-150人,"互联网/电子商务,计算机软件",0.8-1万/月,深圳,2年经验,大专,招1人,"['五险一金', '弹性工作', '绩效奖金', '年终奖金', '周末双休', '带薪年假']",3,8.0,10.0,1
66,.NET开发工程师,深圳市金龙锋科技有限公司,民营公司,50-150人,"计算机软件,教育/培训/院校",0.5-1万/月,深圳,1年经验,大专,招若干人,"['五险一金', '员工旅游', '绩效奖金', '年终奖金']",3,5.0,10.0,1
67,ASP.NET（C#）工程师,深圳巨全网络技术有限公司,民营公司,50-150人,"网络游戏,互联网/电子商务",7-9千/月,深圳,1年经验,大专,招1人,"['五险一金', '员工旅游']",2,7.0,9.0,1
68,.NET开发工程师,深圳市华图测控系统有限公司,民营公司,150-500人,"仪器仪表/工业自动化,电子技术/半导体/集成电路",0.6-1万/月,深圳,2年经验,大专,招1人,['五险一金'],3,6.0,10.0,1
69,C#.net高级软件工程师,深圳市正能量网络技术有限公司,民营公司,50-150人,"计算机软件,互联网/电子商务",1.5-2万/月,深圳,3-4年经验,大专,招2人,"['专业培训', '通讯补贴', '绩效奖金', '年终奖金', '弹性工作', '五险一金', '员工旅游', '定期体检', '股票期权']",3,15.0,20.0,1
70,.NET开发工程师,深圳市爱赛德科技有限公司,民营公司,150-500人,"计算机软件,金融/投资/证券",0.8-1万/月,深圳,无工作经验,本科,招2人,"['五险一金', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']",3,8.0,10.0,1
71,.NET开发工程师,深圳市玮言服饰股份有限公司,民营公司,1000-5000人,"服装/纺织/皮革,批发/零售",0.7-1万/月,深圳,1年经验,大专,招2人,"['五险一金', '绩效奖金', '专业培训', '定期体检', '员工旅游']",3,7.0,10.0,1
72,.NET开发工程师,深圳市咨微信息科技有限公司,民营公司,50-150人,"计算机软件,互联网/电子商务",0.8-1.3万/月,深圳,2年经验,大专,招1人,"['五险一金', '绩效奖金', '专业培训', '员工旅游', '年终奖金', '通讯补贴']",3,8.0,13.0,1
73,.NET工程师（双休+食宿）,深圳市倍测科技有限公司,民营公司,500-1000人,"检测，认证,电子技术/半导体/集成电路",0.6-1万/月,深圳,1年经验,大专,招1人,"['周末双休', '提供食宿', '全勤奖', '节日福利', '五险一金', '带薪年假', '国内外旅游', '晋升空间大', '多元化活动', '年终奖金']",3,6.0,10.0,1
74,中高级.net开发,深圳市思迅软件股份有限公司,上市公司,150-500人,计算机软件,1.3-2万/月,深圳,3-4年经验,本科,招2人,"['五险一金', '专业培训', '定期体检', '员工旅游']",3,13.0,20.0,1
75,ASP.NET中级软件工程师,深圳奎蛇软件科技有限公司,创业公司,少于50人,计算机软件,2-3万/月,深圳,3-4年经验,大专,招若干人,"['五险一金', '年终奖金', '项目奖金']",3,20.0,30.0,1
76,.net/c#软件开发工程师,深圳市正业玖坤信息技术有限公司,上市公司,50-150人,计算机软件,0.7-1.2万/月,深圳,无工作经验,大专,招6人,"['五险一金', '补充医疗保险', '员工旅游', '交通补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金', '带薪年假', '节日生日福利']",3,7.0,12.0,1
77,.NET开发工程师,广州市埃维诺电脑技术开发有限公司北京分公司,外资（欧美）,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",2-2.5万/月,深圳,3-4年经验,本科,招3人,"['技术学习', '五险一金', '补充医疗保险', '通讯补贴', '专业培训', '定期体检', '年终奖金', '绩效奖金']",3,20.0,25.0,1
78,.NET高级开发工程师,沃通电子认证服务有限公司,民营公司,50-150人,"互联网/电子商务,计算机软件",1-2万/月,深圳,5-7年经验,本科,招3人,"['五险一金', '绩效奖金', '专业培训', '员工旅游']",3,10.0,20.0,1
79,c# .net软件工程师（web）,深圳市海威达科技有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),0.8-1.2万/月,深圳,无工作经验,本科,招2人,"['通讯补贴', '绩效奖金', '年终奖金', '员工旅游']",3,8.0,12.0,1
80,.NET开发工程师,深圳市计通智能技术有限公司,民营公司,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",0.8-1.5万/月,深圳,1年经验,本科,招若干人,"['五险一金', '员工旅游', '通讯补贴', '年终奖金', '年底双薪', '带薪年假', '专业培训', '茶点零食', '节日福利']",3,8.0,15.0,1
81,软件开发工程师（.NET方向）,深圳市友联金达软件开发有限公司,民营公司,少于50人,"计算机软件,互联网/电子商务",6-8千/月,深圳,2年经验,大专,招10人,"['五险一金', '补充医疗保险', '年终奖金', '补充公积金', '员工旅游', '专业培训']",2,6.0,8.0,1
82,.NET开发工程师 初级  中级,深圳市凯德信息技术有限公司,民营公司,少于50人,计算机软件,0.8-1.5万/月,深圳,2年经验,本科,招10人,"['五险一金', '员工旅游', '做五休二', '周末双休', '每年多次调薪', '餐饮补贴']",3,8.0,15.0,1
